Row_Labels,Count_AnimalName
K.,1
K.C,1
K.C.,6
K.O.,2
K9,1
K-9,1
KAAYA,1
KABBIE,1
KABEL,1
KABOOZE,1
KABUKI,2
KABUKI-ANN,1
KACEE,2
KACEY,10
KACI,2
KACIE,1
KACY,4
KADEEN,1
KADEN,2
KADIEN,1
KADIN,1
KADIRA,1
KADLEKAI,1
KADO,2
KADU,1
KADY,1
KAELA,1
KAELAH,1
KAFKA,2
KAGA,1
KAGAN,1
KAHLEYA,1
KAHLO,2
KAHLUA,12
KAHN,1
KAHULA,1
KAHUNA,2
KAHVE,1
KAI,26
KAI',1
KAIA,2
KAIBA,1
KAIDA,1
KAIDEN,1
KAIDO,1
KAIJEE,1
KAIJU,3
KAIKAI,1
KAILA,2
KAILANI,2
KAILEE,1
KAILEY,2
KAILI,1
KAILO,1
KAILY,1
KAIN,1
KAINE,3
KAIOKO,1
KAIOUS,1
KAIPO,1
KAIRA,1
KAIRI,4
KAIRO,4
KAISER,25
KAITLYN,1
KAIYA,5
K-AIYAH,1
KAIYUH,1
KAIZER,2
KAJ,1
KAJA,4
KAKA,4
KAKIE,1
KALA,4
KALAMAZOO,1
KALBEE,1
KALBI,1
KALE,2
KALEEFS,1
KALEESI,1
KALEIGH,2
KAL-EL,2
KALEY,2
KALI,29
KALIE,1
KALIN,2
KALISI,2
KALISKA,1
KALKIDAN,1
KALLALOO,1
KALLI,1
KALLIE,3
KALMAN,1
KALOKO,1
KALONA,1
KALU,2
KALUA,3
KALUMBA,1
KALVIN,1
KALY,3
KAM,1
KAMA,1
KAMBO,1
KAMI,7
KAMIKO,1
KAMILA,2
KAMILLA,1
KAMRIN,1
KANCHO,1
KANDI,3
KANDINSKY,1
KANDY,6
KANE,34
KANEI,1
KANG,1
KANGA,1
KANI,1
KANO,3
KANOOK,1
KANSAS,2
KANUI,1
KANUSHI,1
KANY,2
KANYA,2
KANYE,6
KAOS,7
KAPI,1
KAPITOLINA,1
KAPLAN,1
KAPO,1
KAPPY,1
KAPRIZ,1
KAPTAIN,1
KARA,5
KARAMEL,1
KARATE,1
KAREN,1
KARI,2
KARIN,1
KARISMA,1
KARJANI,1
KARL,7
KARLA,6
KARLIE,1
KARLITA,1
KARLY,1
KARMA,32
KARMEN,1
KARMIE,1
KARO,1
KARRIE,1
KARUS,1
KARUSHKA,1
KASANDRA,1
KASCHEU,2
KASE,1
KASEY,15
KASEYANN,1
KASH,5
KASHA,5
KASHI,4
KASHIMA,1
KASHMA,1
KASPER,11
KASPUR,1
KASSIE,2
KASSIUS,1
KAT,1
KATA,1
KATANA,3
KATARA,1
KATE,14
KATELAND,1
KATELYN,1
KATERINA,1
KATHARINE,1
KATHERINE,3
KATHRYN,1
KATHY,3
KATIA,2
KATIE,82
KATIE-MAY,1
KATIE-SHELBY,1
KATNISS,4
KATO,20
KATOGO,1
KATRINA,3
KATSU,2
KATTY,1
KATY,12
KATYA,2
KAVIN,1
KAWAII,2
KAY,3
KAYA,23
KAYAS,1
KAYCEE,6
KAYCIE,1
KAYDEN,3
KAYLA,29
KAYLAH,1
KAYLE,1
KAYLEE,13
KAYLEEN,1
KAYLEIGH,2
KAYLEY,1
KAYLIAH,1
KAYLIE,2
KAYNEE,1
KAYSAR,1
KAYSO,1
KAYTI,1
KAYTO,1
KAZ,2
KAZAK,1
KAZI,1
KAZIK,1
KAZOO,1
KAZPER,1
KAZUHIRA,1
KAZUMA,1
KB,1
KC,15
K-C,1
KCHLOE,1
KEANO,1
KEANU,2
KEARN,1
KEARNEY,1
KEARSARGE,1
KEATON,2
"KEATON,",1
KEATS,1
KEBAB,1
KEBE,1
KEBI,2
KEBO,1
KEDZIE,1
KEE,1
KEEBLER,1
KEEGAN,3
KEEKA,1
KEEKEE,2
KEEKO,2
KEEKY,1
KEELER,1
KEELEY,2
KEELO,1
KEELOW,1
KEELY,2
KEEMO,1
KEENA,1
KEENAN,1
KEENEY,1
KEEPSAKE&#39;S,1
KEEVA,1
KEEYO,1
KEF,1
KEIBA,1
KEIDAN,1
KEIDES,1
KEIKI,1
KEIKO,23
KEILA,2
KEILAN,1
KEILER,1
KEILY,1
KEINU,1
KEIRA,7
KEISHA,3
KEITA,1
KEITER,1
KEITH,5
KEKE,4
KEKO,1
KELAHERS,1
KELAN,1
KELANI,1
KELBOOSH,1
KELBY,1
KELE,1
KELEV,5
KELI,1
KELISEE,1
KELLER,1
KELLEY,3
KELLI,5
KELLIE,2
KELLOGG,1
KELLS,1
KELLY,50
KELPIE,1
KELSEY,12
KELSEY-BELLE,2
KELSIE,1
KELSO,5
KELTIE,1
KELVIN,2
KEMAR,1
KEMBA,1
KEN,4
KENAI,4
KENAL,1
KENAN,1
KENARI,1
KENDALL,2
KENDI,1
KENDRA,3
KENDRICK,2
KENDU,1
KENICKIE,1
KENJI,13
KENKEN,1
KENLEY,1
KENNA,3
KENNE,1
KENNEDY,7
KENNETH,1
KENNEY,1
KENNY,14
KENNY&#39;S,1
KENO,4
KENOBI,1
KENRY,1
KENSEY,2
KENSHI,1
KENSHIN,1
KENSI,1
KENSINGTON,3
KENTA,1
KENTUCKY,3
KENU,2
KENUI,1
KENY,2
KENYA,16
KENYAETTE,1
KENZI,4
KENZIE,4
KENZO,4
KEOKI,1
KEOLA,1
KEPLER,4
KEPPY,1
KER,1
KERA,1
KERI,2
KERLCHEN,1
KERMIT,7
KERO,1
KEROUAC,1
KERRI,3
KERRY,8
KERWYN,1
KES,2
KESHA,5
KESTREL,1
KETA,1
KETCHUP,4
KETEL,1
KETZIE,1
KEVIN,19
KEW,1
KEWBIE,1
KEWPID,1
KEWPYD,1
KEY,3
KEYA,2
KEY-KEY,1
KEYLA,1
KEYLARGO,1
KEYLIA,1
KEYNO,1
KEYRA,1
KEYS,1
KEYSER,1
KEYSHE,1
KEYSI,1
KEYSPAN,1
KHADYN,2
KHALEESI,16
KHALESSI,2
KHALI,2
KHALIA,1
KHAMUS,1
KHAN,6
KHARMA,1
KHAYA,1
KHEPRI,1
KHIA,1
KHIONE,2
KHLOB,1
KHLOE,42
KHLOEY,1
KHOLE,4
KHRISHNA,1
KHRISTINA,1
KHUFU,2
KHUSHI,2
KI,3
KIA,4
KIAMIASHA,1
KIANA,2
KIARA,11
KIARITA,1
KIBA,10
KIBBE,1
KIBBETH,1
KIBBLES,3
KIBI,1
KIBO,1
KIBOU,1
KICO,2
KID,1
KIDD,3
KIDDLE,1
KIDDO,4
KIE,1
KIEFER,1
KIEKKO,1
KIERA,2
KIERAN,1
KIERNAN,2
KIERRA,1
KIEVA,1
KIFLAN,1
KIFLI,2
KIHA,1
KIIRO,1
KIITA,1
KIJIBWA,1
KIKA,6
KIKE,1
KIKI,92
KIKIE,1
KIKO,17
KIKS,1
KIKUCHIYO,1
KIKYO,2
KILA,1
KILALA,1
KILEY,2
KILLA,4
KILLER,13
KILLIAN,2
KILO,22
KILROY,1
KIM,6
KIMA,5
KIMBA,10
KIMBELLA,1
KIMBER,2
KIMBERLY,4
KIMBLE,1
KIMBO,6
KIMCHI,12
KIMI,5
KIMIKO,1
KIMLO,1
KIMMIE,1
KIMMIE-KIMBA,1
KIMMY,4
KIMO,4
KIMORA,1
KIMRO,1
KIN,1
KINA,4
KINAKO,1
KINBA,1
KINDER,1
KINDRED,1
KING,211
KINGDOM,2
KINGG,1
KINGG',1
KINGPIN,2
KINGS,1
KINGSLEY,8
KINGSTON,30
KINICHI,1
KINIE,1
KINIKO,1
KINJE,1
KINKACHU,1
KINLEY,1
KINO,5
KINOS,1
KINSEY,2
KINTO,1
KIOKO,2
KIOSHI,2
KIP,3
KIPLING,1
KIPO,1
KIPPER,7
KIPPY,2
KIRA,32
KIRA-A,1
KIRBY,45
KIREI,1
KIRI,1
KIRIN,3
KIRK,1
KIRO,1
KIRRA,1
KIRRO,1
KISCI,1
KISH,1
KISHA,1
KISHKA,1
KISKA,2
KISMET,7
KISS,3
KISSES,7
KISSIE,1
KISSY,5
KIT,6
KITA,7
KITANA,1
KITKAT,3
KITKO,1
KITO,4
KITSU,2
KITSUNE,4
KITSUNI,1
KITT,3
KITTEN,1
KITTY,21
KIVA,3
KIWI,34
KIX,1
KIYO,1
KIYOKO,1
KIZMET,1
KIZZIE,2
KIZZY,5
KJ,4
KK,1
KKO,1
KLAATU,1
KLARA,2
KLASH,1
KLAUS,6
KLECKO,1
KLEETUS,1
KLEINE,1
KLEOPA,1
KLEY,1
KLOE,3
KLONDIKE,5
KLONDIKES,1
KLONNEY,1
KLONOA,1
KLOOSKA,2
KLYDE,1
K-MART,1
KNEIDEL,1
KNIBLOE,1
KNICKS,2
KNIGHT,9
KNIGHTLEY,1
KNISH,1
KNOPA,1
KNOTS,1
KNOX,7
KNOXVILLE,1
KNUCKLEHEAD,2
KNUCKLES,8
KNUCKY,1
KNUT,2
KNUTE,1
KOA,10
KOAL,1
KOALA,3
KOBA,3
KOBAYASHI,2
KOBAYENDE,1
KOBBY,1
KOBE,81
KOBEE,1
KOBI,15
KOBIE,1
KOBY,17
KOCH,1
KOCHIEF,1
KOCO,2
KOCOA,3
KOCOMO,1
KODA,47
KODAH,1
KODAK,5
KODI,15
KODIAK,8
KODIE,1
KODY,23
KOFFE,1
KOFFEY,1
KOFI,5
KOGI,1
KOHEI,1
KOHL,1
KOI,1
KOJAC,1
KOJAK,1
KOJI,6
KOJIRO,1
KOJO,1
KOKA,1
KOKE,1
KOKEE,1
KOKI,8
KOKIE,3
KOKITO,2
KOKO,60
KO-KO,1
KOKOE,1
KOKOI,1
KOKOMO,5
KOKORO,2
KOKY,1
KOLA,5
KOLBER,1
KOLBI,1
KOLBY,1
KOLCHAK,1
KOLE,2
KOLO,1
KOMALI,1
KOMET,1
KOMPIS,1
KONA,38
KONAH,1
KONA-KAEA,1
KONALA,1
KONAN,2
KONEY,2
KONG,7
KONGEE,1
KONI,1
KONO,3
KONRAD,2
KONTA,2
KOOBA,1
KOOCHIE,1
KOOKIE,9
KOO-KOO,1
KOOKY,1
KOOLAIDE,1
KOOPA,1
KOOPER,4
KOOSASI,1
KOOSH,1
KOOZ,1
KORA,3
KORBIN,1
KORD,1
KOREA,1
KOREK,1
KOREY,1
KORI,3
KORKI,1
KORN,1
KOROLEVA,1
KORRA,3
KORY,4
KOSHKA-MASHKA,1
KOSMO,9
KOSTYA,1
KOTA,3
KOTARO,3
KOTO,1
KOTOMI,1
KOTURA,1
KOUFAX,2
KOUKLA,6
KOUTURE,1
KOVAS,1
KOVI,1
KOVOU,1
KOVU,1
KOX,1
KOXKO,1
KOY,1
KOYUKI,1
KOZMO,5
K-POP,1
KRACKERS,2
KRAFT,1
KRAMER,8
KRATOS,4
KRAUS,1
KRAY,1
KREPLACH,1
KRESTIN,1
KRIEGER,1
KRIMSON,1
KRIPTO,1
KRIS,1
KRISHNA,1
KRISSY,6
KRISTA,2
KRISTAL,1
KRISTAN,1
KRISTEE,1
KRISTI,2
KRISTIAN,1
KRISTINA,1
KRISTOFF,1
KRISTOFFERSON,1
KRISTY,3
KROKIET,1
KRONUS,2
KROWA,1
KRUSZEK,1
KRUZ,1
KRYPTO,11
KRYPTONITE,1
KRYS,1
KRYSTAL,9
KSUSHA,1
KUAILE,1
KUALUA,1
KUAN,1
KUBA,4
KUBBY-BEAR,1
KUBIE,1
KUBLA,1
KUBO,1
KUBRICK,3
KUBUS,4
KUBUSZ,1
KUDOS,1
KUHLUA,2
KUJO,4
KUKA,3
KUKI,2
KUKIO,1
KUKLA,3
KUK'UK,1
KULFI,1
KULO,1
KUMA,41
KUMA-DUKE,1
KUMAGORO,1
KUMAKO,2
KUMBUKA,1
KUMO,1
KUNA,2
KUNO,1
KUNTA,1
KUNU,1
KUPA,1
KUPA'A,1
KUPCAKE,1
KUPCAKES,2
KURA,1
KURO,5
KUROMAME,1
KUROSAKI,1
KURT,2
KURTIS,2
KURU,1
KURUMI,1
KUSCO,1
KUSH,10
KUSHPO,1
KUSHY,1
KUSIKUY,1
KUTCHER,1
KUTE,1
KUZCO,2
KUZ'MA,1
KUZU,1
KUZYA,4
KWELI,2
KWILL,1
KY&#39;ANN,1
KYA,4
KYAN,1
KYE,1
KYEBA,1
KYGO,1
KYKE,1
KY-KY,1
KYLA,2
KYLAH,1
KYLE,8
KYLEE,5
KYLI,2
KYLIE,19
KYLLAH,1
KYM,1
KYMBELLA,1
KYO,2
KYRA,10
KYRIE,1
KYRO,1
KYRSTAL,1
KYUBI,2
KYURU,1
KYUUBI,1
KYZER,2